date,state,positive,probableCases,negative,pending,totalTestResultsSource,totalTestResults,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,hospitalizedDischarged,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResultsIncrease,posNeg,dataQualityGrade,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20200304,CA,53,None,462,None,totalTestsViral,515,None,None,None,None,None,None,None,None,None,None,None,None,None,None,515,None,None,53,None,None,None,None,None,None,None,None,None,None,None,None,None,None,06,0,0,515,0,515,None,0,0,41904137a1c45bac0dc5ce126945ed92c92bbde5,0,0,0,0,0,
20200305,CA,53,None,462,None,totalTestsViral,515,None,None,None,None,None,None,None,None,None,None,None,None,None,None,515,None,None,53,None,None,None,None,None,None,None,None,None,None,None,None,None,None,06,0,0,515,0,515,None,0,0,f5e787e564f7a4076d147f14c84f77d4312da17a,0,0,0,0,0,
20200306,CA,60,None,462,None,totalTestsViral,522,None,None,None,None,None,None,None,None,None,None,None,None,None,None,522,None,None,60,None,None,None,None,None,None,None,None,None,None,None,None,None,None,06,7,0,522,7,522,None,0,0,b467e72f47b966bc063738972f6c2e31051919db,0,0,0,0,0,
20200307,CA,69,None,462,None,totalTestsViral,531,None,None,None,None,None,None,None,None,None,None,None,None,None,None,531,None,None,69,None,None,None,None,None,None,None,None,None,None,None,None,None,None,06,9,0,531,9,531,None,0,0,1f70bcab9c5370a1b81ffac6daaf374a941caac5,0,0,0,0,0,
20200308,CA,88,None,462,None,totalTestsViral,550,None,None,None,None,None,None,None,None,None,None,None,None,None,None,550,None,None,88,None,None,None,None,None,None,None,None,None,None,None,None,None,None,06,19,0,550,19,550,None,0,0,32c01c9818d9d58889168f661d1b2ec4a9336a98,0,0,0,0,0,
20200309,CA,114,None,690,None,totalTestsViral,804,None,None,None,None,None,None,None,None,None,None,None,None,None,None,804,None,None,114,None,None,None,None,None,None,None,None,None,None,None,None,None,None,06,26,228,804,254,804,None,0,0,9fc79957ea2bede6a73a51640368c467589b56eb,0,0,0,0,0,
20200310,CA,133,None,690,None,totalTestsViral,823,None,None,None,None,None,None,None,None,None,None,None,None,None,None,823,None,None,133,None,None,None,None,None,None,None,None,None,None,None,None,None,None,06,19,0,823,19,823,None,0,0,e047dbb40e72c843514a3ed8338d7a5bb50e1ebd,0,0,0,0,0,
20200311,CA,157,None,916,None,totalTestsViral,1073,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1073,None,None,157,None,None,None,None,None,None,None,None,None,None,None,None,None,None,06,24,226,1073,250,1073,None,0,0,0a0dee3d1a21828e12a529a566bdef22f9e50b72,0,0,0,0,0,
20200312,CA,202,None,916,None,totalTestsViral,1118,None,None,None,None,None,None,None,3/12/2020 10:00,2020-03-12T10:00:00Z,03/12 06:00,4,None,None,2020-03-12T10:00:00Z,1118,None,None,202,None,None,None,None,None,None,None,None,None,None,None,None,None,None,06,45,0,1118,45,1118,None,4,0,cc68eb8fb04060add5b4558d1340f572a8126273,0,0,0,0,0,
20200313,CA,202,None,916,None,totalTestsViral,1118,None,None,None,None,None,None,None,3/12/2020 10:00,2020-03-12T10:00:00Z,03/12 06:00,4,None,None,2020-03-12T10:00:00Z,1118,None,None,202,None,None,None,None,None,None,None,None,None,None,None,None,None,None,06,0,0,1118,0,1118,None,0,0,ccd7f71d2f5a632b0ff76c75210571fad06531ad,0,0,0,0,0,
20200314,CA,252,None,916,None,totalTestsViral,1168,None,None,None,None,None,None,None,3/13/2020 11:00,2020-03-13T11:00:00Z,03/13 07:00,5,None,None,2020-03-13T11:00:00Z,1168,None,None,252,None,None,None,None,None,None,None,None,None,None,None,None,None,None,06,50,0,1168,50,1168,None,1,0,ef85fea430bcd72f1989953c1b2249d51ca22155,0,0,0,0,0,
20200315,CA,293,None,916,None,totalTestsViral,1209,None,None,None,None,None,None,None,3/14/2020 11:00,2020-03-14T11:00:00Z,03/14 07:00,5,None,None,2020-03-14T11:00:00Z,1209,None,None,293,None,None,None,None,None,None,None,None,None,None,None,None,None,None,06,41,0,1209,41,1209,None,0,0,8da19f4168ecdf5b39e0933596ea160ed1f29777,0,0,0,0,0,
20200316,CA,335,None,7981,None,totalTestsViral,8316,None,None,None,None,None,None,None,3/16/2020 15:10,2020-03-16T15:10:00Z,03/16 11:10,6,None,None,2020-03-16T15:10:00Z,8316,None,None,335,None,None,None,None,None,None,None,None,None,None,None,None,None,None,06,42,7065,8316,7107,8316,None,1,0,4cc065023cb051eb24fc95b1eeab593a8959d226,0,0,0,0,0,
20200317,CA,483,None,7981,None,totalTestsViral,8464,None,None,None,None,None,None,None,3/16/2020 21:00,2020-03-16T21:00:00Z,03/16 17:00,11,None,None,2020-03-16T21:00:00Z,8464,None,None,483,None,None,None,None,None,None,None,None,None,None,None,None,None,None,06,148,0,8464,148,8464,None,5,0,35be563e1fe4520b503ecf30a8bb87bf8b61eff4,0,0,0,0,0,
20200318,CA,611,None,7981,None,totalTestsViral,8592,None,None,None,None,None,None,None,3/17/2020 21:00,2020-03-17T21:00:00Z,03/17 17:00,13,None,None,2020-03-17T21:00:00Z,8592,None,None,611,None,None,None,None,None,None,None,None,None,None,None,None,None,None,06,128,0,8592,128,8592,None,2,0,8f558a2ad9c6dec4402284bd2b359bf6477485bd,0,0,0,0,0,
20200319,CA,924,None,8787,None,totalTestsViral,9711,None,None,None,None,None,None,None,3/19/2020 14:25,2020-03-19T14:25:00Z,03/19 10:25,18,None,None,2020-03-19T14:25:00Z,9711,None,None,924,None,None,None,None,None,None,None,None,None,None,None,None,None,None,06,313,806,9711,1119,9711,None,5,0,855b4eacff9b25bd63b8146f10ca394499b95349,0,0,0,0,0,
20200320,CA,1063,None,10424,None,totalTestsViral,11487,None,None,None,None,None,None,None,3/20/2020 14:41,2020-03-20T14:41:00Z,03/20 10:41,20,None,None,2020-03-20T14:41:00Z,11487,None,None,1063,None,None,None,None,None,None,None,None,None,None,None,None,None,None,06,139,1637,11487,1776,11487,None,2,0,cd65a281f9d8fc87823cb71742b4b5e5fe94bb26,0,0,0,0,0,
20200321,CA,1279,None,11249,None,totalTestsViral,12528,None,None,None,None,None,None,None,3/21/2020 00:00,2020-03-21T00:00:00Z,03/20 20:00,24,None,None,2020-03-21T00:00:00Z,12528,None,None,1279,None,None,None,None,None,None,None,None,None,None,None,None,None,None,06,216,825,12528,1041,12528,None,4,0,830983993218fb387e525a91ad2b902ed191e1fe,0,0,0,0,0,
20200322,CA,1536,None,11304,None,totalTestsViral,12840,None,None,None,None,None,None,None,3/22/2020 13:34,2020-03-22T13:34:00Z,03/22 09:34,27,None,None,2020-03-22T13:34:00Z,12840,None,None,1536,None,None,None,None,None,None,None,None,None,None,None,None,None,None,06,257,55,12840,312,12840,None,3,0,30380b70060e9855447018576f04fff6cab5a6a4,0,0,0,0,0,
20200323,CA,1733,None,12567,12100,totalTestsViral,14300,None,None,None,None,None,None,None,3/23/2020 00:00,2020-03-23T00:00:00Z,03/22 20:00,27,None,None,2020-03-23T00:00:00Z,14300,None,None,1733,None,None,None,None,None,None,None,None,None,None,None,None,None,None,06,197,1263,26400,1460,14300,None,0,0,90786533d921e594863ed412cdf76e77e31ec16a,0,0,0,0,0,
20200324,CA,2102,None,13452,12100,totalTestsViral,15554,None,None,None,None,None,None,None,3/24/2020 00:00,2020-03-24T00:00:00Z,03/23 20:00,40,None,None,2020-03-24T00:00:00Z,15554,None,None,2102,None,None,None,None,None,None,None,None,None,None,None,None,None,None,06,369,885,27654,1254,15554,None,13,0,cd7cb20e548dd724204197244d6161773e40ea29,0,0,0,0,0,
20200325,CA,2355,None,15921,48600,totalTestsViral,18276,None,None,None,None,None,None,None,3/24/2020 00:00,2020-03-24T00:00:00Z,03/23 20:00,53,None,None,2020-03-24T00:00:00Z,18276,None,None,2355,None,None,None,None,None,None,None,None,None,None,None,None,None,None,06,253,2469,66876,2722,18276,None,13,0,01c3d1056562a0f28835acd79ede453e41709f59,0,0,0,0,0,
20200326,CA,3006,None,17380,57400,totalTestsViral,20386,None,None,None,None,None,None,None,3/25/2020 17:00,2020-03-25T17:00:00Z,03/25 13:00,65,None,None,2020-03-25T17:00:00Z,20386,None,None,3006,None,None,None,None,None,None,None,None,None,None,None,None,None,None,06,651,1459,77786,2110,20386,None,12,0,62932c67956131e2c5f9acd6efff97316b9da25a,0,0,0,0,0,
20200327,CA,3879,None,17380,57400,totalTestsViral,21259,746,None,200,None,None,None,None,3/27/2020 00:00,2020-03-27T00:00:00Z,03/26 20:00,78,None,None,2020-03-27T00:00:00Z,21259,None,None,3879,None,None,None,None,None,None,None,None,None,None,None,None,None,None,06,873,0,78659,873,21259,None,13,0,d223ade5d8f2bd1bbdf1b64d7db3c2cbc1b67fba,0,0,0,0,0,
20200328,CA,4643,None,20549,64400,totalTestsViral,25192,1034,None,410,None,None,None,None,3/27/2020 17:00,2020-03-27T17:00:00Z,03/27 13:00,101,None,None,2020-03-27T17:00:00Z,25192,None,None,4643,None,None,None,None,None,None,None,None,None,None,None,None,None,None,06,764,3169,89592,3933,25192,None,23,0,77bc80b79bc20e2452028979f4d7e957ef1721d9,0,0,0,0,0,
