date,state,positive,probableCases,negative,pending,totalTestResultsSource,totalTestResults,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,hospitalizedDischarged,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResultsIncrease,posNeg,dataQualityGrade,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
2020-03-04,GA,2,None,None,None,totalTestsViral,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,13,0,0,2,0,2,None,0,0,105448dd1a2115c6a370c9b05792604ff82ad689,0,0,0,0,0,
2020-03-05,GA,2,None,None,None,totalTestsViral,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,13,0,0,2,0,2,None,0,0,9c0447073a538a3ea278d7c96d782c3c745d18bd,0,0,0,0,0,
2020-03-06,GA,2,None,None,None,totalTestsViral,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,13,0,0,2,0,2,None,0,0,d16e1a97583c8a99fa0b6eb199a875ddb243f2bd,0,0,0,0,0,
2020-03-07,GA,6,None,None,None,totalTestsViral,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,13,4,0,6,0,6,None,0,0,5599316ebbca76b1cc38c05ccb901695fe1129e0,0,0,0,0,0,
2020-03-08,GA,7,None,None,None,totalTestsViral,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,13,1,0,7,0,7,None,0,0,6c5d2f37f59facbd8ec40659be7796f060dd78e3,0,0,0,0,0,
2020-03-09,GA,12,None,None,None,totalTestsViral,6,None,None,None,None,None,None,None,None,None,None,None,None,None,None,6,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,13,5,0,12,6,12,None,0,0,ca0b7bab6a5b8276d8ddc8d5a0dbc34338debedb,0,0,0,0,0,
2020-03-10,GA,17,None,None,None,totalTestsViral,29,None,None,None,None,None,None,None,None,None,None,None,None,None,None,29,2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,13,5,0,17,23,17,None,0,0,57c53535445e580d82152b0387e80dec8a109731,0,0,0,0,0,
2020-03-11,GA,22,None,None,None,totalTestsViral,44,None,None,None,None,None,None,None,None,None,None,None,None,None,None,44,4,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,13,5,0,22,15,22,None,0,0,42cc0ab797df869a801738b03fd4372ae6d8d428,0,0,0,0,0,
2020-03-12,GA,31,None,None,None,totalTestsViral,81,None,None,None,None,None,None,None,3/11/2020 20:00,2020-03-11T20:00:00Z,03/11 16:00,None,None,None,2020-03-11T20:00:00Z,81,7,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,13,9,0,31,37,31,None,0,0,4042de9396e3fe7117e9b47ae806fea4b377cb3f,0,0,0,0,0,
2020-03-13,GA,42,None,None,None,totalTestsViral,336,None,None,None,None,None,None,None,3/13/2020 00:00,2020-03-13T00:00:00Z,03/12 20:00,1,None,None,2020-03-13T00:00:00Z,336,32,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,13,11,0,42,255,42,None,1,0,5d600e8a7bbd2ee2c4e4fabde34bc2492349fd0a,0,0,0,0,0,
2020-03-14,GA,66,None,None,None,totalTestsViral,466,None,None,None,None,None,None,None,3/14/2020 12:00,2020-03-14T12:00:00Z,03/14 08:00,1,None,None,2020-03-14T12:00:00Z,466,41,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,13,24,0,66,130,66,None,0,0,9b3a3910e4d07ed785b28cd96d644c5a6cd58c3d,0,0,0,0,0,
2020-03-15,GA,99,None,None,None,totalTestsViral,707,None,None,None,None,None,None,None,3/15/2020 11:43,2020-03-15T11:43:00Z,03/15 07:43,1,None,None,2020-03-15T11:43:00Z,707,68,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,13,33,0,99,241,99,None,0,0,c89589d75c625fc7cd0b5694cbce2823fa069f5d,0,0,0,0,0,
2020-03-16,GA,121,None,None,None,totalTestsViral,959,None,None,None,None,None,None,None,3/16/2020 15:19,2020-03-16T15:19:00Z,03/16 11:19,1,None,None,2020-03-16T15:19:00Z,959,100,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,13,22,0,121,252,121,None,0,0,06c0095e8bc0b5920ab7b328abbaa77d304a0ab3,0,0,0,0,0,
2020-03-17,GA,146,None,None,None,totalTestsViral,1500,None,None,None,None,None,None,None,3/17/2020 12:00,2020-03-17T12:00:00Z,03/17 08:00,1,None,None,2020-03-17T12:00:00Z,1500,185,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,13,25,0,146,541,146,None,0,0,757d8823160016a7434e605e9a41f7481119a737,0,0,0,0,0,
2020-03-18,GA,197,None,None,None,totalTestsViral,1866,None,None,None,None,None,None,None,3/18/2020 12:00,2020-03-18T12:00:00Z,03/18 08:00,1,None,None,2020-03-18T12:00:00Z,1866,246,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,13,51,0,197,366,197,None,0,0,63aaa2a1e6c90ae9f8881cae33b15d3c6a1bef6d,0,0,0,0,0,
2020-03-19,GA,287,None,None,None,totalTestsViral,2468,None,None,None,None,None,None,None,3/19/2020 12:00,2020-03-19T12:00:00Z,03/19 08:00,10,None,None,2020-03-19T12:00:00Z,2468,352,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,13,90,0,287,602,287,None,9,0,be49ab701e4c490fe7e4706050f34a90328e2349,0,0,0,0,0,
