date,state,positive,probableCases,negative,pending,totalTestResultsSource,totalTestResults,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,hospitalizedDischarged,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResultsIncrease,posNeg,dataQualityGrade,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
2020-01-13,WA,None,None,None,None,totalTestEncountersViral,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,53,0,0,0,0,0,None,0,0,12b994ad07c276a5278a2465e081751688739765,0,0,0,0,0,
2020-01-14,WA,0,None,None,None,totalTestEncountersViral,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,53,0,0,0,0,0,None,0,0,1881c8a2f0d337b22066b4f05df06eb2259e8d57,0,0,0,0,0,
2020-01-15,WA,0,None,None,None,totalTestEncountersViral,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,53,0,0,0,0,0,None,0,0,4987e61aad88182abfe641033b597304c2153d4f,0,0,0,0,0,
2020-01-16,WA,0,None,None,None,totalTestEncountersViral,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,53,0,0,0,0,0,None,0,0,650501e005a5ee86d93c5f32dda56735ea2af967,0,0,0,0,0,
2020-01-17,WA,0,None,None,None,totalTestEncountersViral,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,53,0,0,0,0,0,None,0,0,7cefac6b3681020741ca30f45399a7b22f2e45b4,0,0,0,0,0,
2020-01-18,WA,0,None,None,None,totalTestEncountersViral,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,53,0,0,0,0,0,None,0,0,3abae06c651660a09d77058bcee6b8d92e25a4b8,0,0,0,0,0,
2020-01-19,WA,1,None,None,None,totalTestEncountersViral,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,53,1,0,1,0,1,None,0,0,8cb957ddb81758a0940668a2bf913fac820ae6fa,0,0,0,0,0,
2020-01-20,WA,1,None,None,None,totalTestEncountersViral,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,53,0,0,1,0,1,None,0,0,2a21b361b0a5ebd4e9d0d9086f46f00123d85c99,0,0,0,0,0,
2020-01-21,WA,2,None,None,None,totalTestEncountersViral,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,53,1,0,2,0,2,None,0,0,5486137b7eda1c30cae4311e9ebb66ba11f3d450,0,0,0,0,0,
2020-01-22,WA,2,None,None,None,totalTestEncountersViral,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2,None,None,0,None,None,None,None,None,None,None,None,None,None,None,53,0,0,2,0,2,None,0,0,3f8272d19109099edeefa39cb8eae5f64297e49a,0,0,0,0,0,
2020-01-23,WA,2,None,None,None,totalTestEncountersViral,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2,None,None,0,None,None,None,None,None,None,None,None,None,None,None,53,0,0,2,0,2,None,0,0,e7060c818b303bf9f4468e1afb1c9df1dc74b4df,0,0,0,0,0,
2020-01-24,WA,2,None,None,None,totalTestEncountersViral,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2,None,None,0,None,None,None,None,None,None,None,None,None,None,None,53,0,0,2,0,2,None,0,0,e8ba823752eb85c8d2c93d8130ec5a4b30a6c58f,0,0,0,0,0,
2020-01-25,WA,2,None,None,None,totalTestEncountersViral,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2,None,None,0,None,None,None,None,None,None,None,None,None,None,None,53,0,0,2,0,2,None,0,0,84a2757a09c1eadc9897c7846a0ac4f65b5df9a8,0,0,0,0,0,
2020-01-26,WA,2,None,None,None,totalTestEncountersViral,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2,None,None,0,None,None,None,None,None,None,None,None,None,None,None,53,0,0,2,0,2,None,0,0,f0f4ce8698b569c10aaf73ffa7772e28c9659900,0,0,0,0,0,
2020-01-27,WA,2,None,None,None,totalTestEncountersViral,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2,None,None,0,None,None,None,None,None,None,None,None,None,None,None,53,0,0,2,0,2,None,0,0,fd12eba027da3405c894ab29809d97bb29198211,0,0,0,0,0,
2020-01-28,WA,2,None,None,None,totalTestEncountersViral,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2,None,None,0,None,None,None,None,None,None,None,None,None,None,None,53,0,0,2,0,2,None,0,0,8447ee61364fc4d4839d44553802a6979322f2a1,0,0,0,0,0,
2020-01-29,WA,2,None,None,None,totalTestEncountersViral,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2,None,None,0,None,None,None,None,None,None,None,None,None,None,None,53,0,0,2,0,2,None,0,0,573472577c8b2940c79228ee4bc66c83061a0f66,0,0,0,0,0,
2020-01-30,WA,2,None,None,None,totalTestEncountersViral,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2,None,None,0,None,None,None,None,None,None,None,None,None,None,None,53,0,0,2,0,2,None,0,0,a8402fb9886511d33f932695c30df481918864df,0,0,0,0,0,
2020-01-31,WA,2,None,None,None,totalTestEncountersViral,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2,None,None,0,None,None,None,None,None,None,None,None,None,None,None,53,0,0,2,0,2,None,0,0,b3ed571c1c3ce3cc16448c7c87677c11dd61f914,0,0,0,0,0,
2020-02-01,WA,2,None,None,None,totalTestEncountersViral,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2,None,None,0,None,None,None,None,None,None,None,None,None,None,None,53,0,0,2,0,2,None,0,0,28f29ac46782279c7ad21d78a33f17fb597dcfeb,0,0,0,0,0,
2020-02-02,WA,2,None,None,None,totalTestEncountersViral,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2,None,None,0,None,None,None,None,None,None,None,None,None,None,None,53,0,0,2,0,2,None,0,0,1a823b42b8977ffc5b0426c5bf3c6a0f8caa1161,0,0,0,0,0,
2020-02-03,WA,3,None,None,None,totalTestEncountersViral,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3,None,None,0,None,None,None,None,None,None,None,None,None,None,None,53,1,0,3,0,3,None,0,0,ef56aa7a614d35880589c2751925269a342d1614,0,0,0,0,0,
2020-02-04,WA,3,None,None,None,totalTestEncountersViral,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3,None,None,0,None,None,None,None,None,None,None,None,None,None,None,53,0,0,3,0,3,None,0,0,785bcf46971dd237af053d2f0d4abb460a97f32b,0,0,0,0,0,
2020-02-05,WA,3,None,None,None,totalTestEncountersViral,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3,None,None,0,None,None,None,None,None,None,None,None,None,None,None,53,0,0,3,0,3,None,0,0,c91bf0cf86a28904759494f5573aa23ec8a2b058,0,0,0,0,0,
2020-02-06,WA,5,None,None,None,totalTestEncountersViral,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,5,None,None,0,None,None,None,None,None,None,None,None,None,None,None,53,2,0,5,0,5,None,0,0,58573bb3e92f3c3a60284f9cf6e851ffc21d4ea4,0,0,0,0,0,
2020-02-07,WA,5,None,None,None,totalTestEncountersViral,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,5,None,None,0,None,None,None,None,None,None,None,None,None,None,None,53,0,0,5,0,5,None,0,0,856c219c35844c7391f817aa683710f082c751d0,0,0,0,0,0,
2020-02-08,WA,5,None,None,None,totalTestEncountersViral,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,5,None,None,0,None,None,None,None,None,None,None,None,None,None,None,53,0,0,5,0,5,None,0,0,0ced399eda95e8d7c5d5c237e7bdc327dd9e446f,0,0,0,0,0,
2020-02-09,WA,5,None,None,None,totalTestEncountersViral,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,5,None,None,0,None,None,None,None,None,None,None,None,None,None,None,53,0,0,5,0,5,None,0,0,bba8e13ecf133d38f32b56fe24ea0a2971dde309,0,0,0,0,0,
2020-02-10,WA,5,None,None,None,totalTestEncountersViral,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,5,None,None,0,None,None,None,None,None,None,None,None,None,None,None,53,0,0,5,0,5,None,0,0,2a8c6900a097270d2d02fb23585dc2090f938eed,0,0,0,0,0,
2020-02-11,WA,5,None,None,None,totalTestEncountersViral,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,5,None,None,0,None,None,None,None,None,None,None,None,None,None,None,53,0,0,5,0,5,None,0,0,4d75f50ec13cfddfa909bdaf67617b4000afadcc,0,0,0,0,0,
